web-scraper-order,web-scraper-start-url,pagination,pagination-href,Text_select,Titulo ,Nota_element
"1561503818-1028","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","219","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or1090-Air-France","Gostei muito do atendimento dos comissários, das refeições do espaço entre os bancos e, principalmente de ter um excelente vôo, com decolagem e pouso tranquilos. O que contou também na escolha da Cia. foi o preço mais convidativo na época.","Muito bom viajar com a Air France","<span class=""ui_bubble_rating bubble_40""></span>"
"1561504371-1899","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","107","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or530-Air-France","Este foi o meu primeiro voô com a Air France. A escolha a companhia foi no primeiro momento devido  ao preço .No decorrer do voo gostei do serviço de bordo,espaço entre os assentos,entretenimento ,habilidade do piloto enfim tudo foi perfeito.Recomendo.","Viagem confortável","<span class=""ui_bubble_rating bubble_50""></span>"
"1561503714-859","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","268","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or1335-Air-France","Me senti como se viajando de ônibus, poltronas rotas e banheiro sujo. Meu voo atrasou e perdi conexão; no balcão de atendimento simplesmente me disseram que não poderiam fazer nada por mim, além de me relococar em outro voo. A cordialidade indentificada na KLM ainda faz com que a falta de cordialidade da Air France destaque.","Não gostei","<span class=""ui_bubble_rating bubble_20""></span>"
"1561504117-1500","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","76","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or375-Air-France","Saiu e chegou no horário.Alimentação acima das cias brasileiras.Comissários/as atenciosos,apesar da barreira da linguagem.Bancos e lugares razoáveis.Aeronave com 
 bons aspecto. Fiquei bastante satisfeita.","Uma das melhores que já voei","<span class=""ui_bubble_rating bubble_40""></span>"
"1561504464-2042","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","191","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or950-Air-France","PIOR voo que fiz em classe executiva.....o trecho de 6 horas... a poltrona era exatamente igual a economica , a diferença somente é que o banco do meio é inutilizado com um especie de bandeja fixa , o que é pior nao subia os braços que no meu caso de estar viajando em casal nao tinhamos nem a opção de subi-los para melhorar o espaço lateral. Nao foi comunicado pela companhia no ato da reserva desta configuraçao especifica. No meu retorno escrevi para a Air france e a soluçao deles foi de me creditar 4.000 milhas o que me deixou mais frustado para quem havia pago por uma executiva.","PESSIMA","<span class=""ui_bubble_rating bubble_20""></span>"
"1561503720-869","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","265","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or1320-Air-France","Já fiz mais de 20 viagens, comida boa, comissários muito atenciosos, tem sempre brasileiros na tripulação. Pontualidade e eficiência! Uma grande companhia aérea.","Desde muito tempo, viajo por essa companhia!","<span class=""ui_bubble_rating bubble_50""></span>"
"1561504020-1345","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","123","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or610-Air-France","Tirando o atraso de 40 minutos no voo Lis/CGD, toda a ligacao foi muito agradavel.
Servico muito bom.","Viagem de Lisboa a Ndjamena","<span class=""ui_bubble_rating bubble_40""></span>"
"1561503766-939","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","244","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or1215-Air-France","a classe executiva da Air France é uma das melhores entre as companhias aéreas das quais eu já voei.
Entretenimento muito bom, comida excelente, espaço ótimo, a poltrona vira uma cama , sem falar da comida, que é refinada e com muitas opções.
Os atendentes à bordo são muito atenciosos e educados.
Realmente é uma experiencia acima da média .","Impecável !","<span class=""ui_bubble_rating bubble_50""></span>"
"1561504000-1316","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","132","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or655-Air-France","Como sou um pouco gordo e grande escolhi a classe Premium Economy. Valeu a pena, apesar do valor ser o dobro da classe economica, o espaço é bem maior e confortável, sem ninguem reclinando em cima de você. O serviço de bordo excelente e o atendimento da tripulação muito atencioso. Foi uma ótima experiência principalmente para minha primeira viagem internacional.","AF459 Premium Economy - viagem com muito conforto e espaço","<span class=""ui_bubble_rating bubble_50""></span>"
"1561504063-1414","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","102","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or505-Air-France","Viajei em família (esposa e filha pequena), e me surpreendi com a qualidade dos serviços prestados.

ALIMENTAÇÃO. Oferecem cardápio com duas opções de jantar, e a que escolhi estava deliciosa. Oferecem regularmente e sem custo adicional champagnes e vinhos tintos ou branco.

CONFORTO. As poltronas dão a leve impressão de serem mais confortável que o comum para a categoria, e os materiais e objetos que oferecem (fones de ouvido de boa qualidade, e não aqueles que mal servem pra um único uso), cobertores bons, cabine de banheiro com tamanho muito bom e acessibilidade para deficientes, etc, além da temperatura ambiente ser menos fria do que em outros vôos internacionais que já realizei.

ENTRETENIMENTO. A central multimídia é fácil de usar e traz diversas opções de filmes recém lançados (inclusive infantis)

Só faltou, pra ganhar o 10, disponibilizar a troca/escolha de assentos (eu viajei separado de minha família)","Sinta-se nas alturas!","<span class=""ui_bubble_rating bubble_50""></span>"
